Song Name,Spotify Link,Album Art Link
you've changed theplatters,https://open.spotify.com/track/7t5RNGsd9edVd0Bm0vj7wQ,https://i.scdn.co/image/ab67616d0000b273b6aceff6d3c1ba13f274ace3
i do adore her harrybelafonte,https://open.spotify.com/track/008wkJY1GYw0177yFVCM2j,https://i.scdn.co/image/ab67616d0000b273b6aceff6d3c1ba13f274ace3
"ciao, ciao, bambina jerryvale",https://open.spotify.com/track/1JKG6hRuV3pgKRi4z2ZGVq,https://i.scdn.co/image/ab67616d0000b273b6aceff6d3c1ba13f274ace3
non dimenticar jerryvale,https://open.spotify.com/track/745QqkGycvkfs39WwvOYoM,https://i.scdn.co/image/ab67616d0000b273c36aac484c9e16b24c6d4ba5
al di la jerryvale,https://open.spotify.com/track/6FzbuIuaN4bJzmik5bQxhj,https://i.scdn.co/image/ab67616d0000b2737fb3bb01b9d990b28ecb7e46
matilda harrybelafonte,https://open.spotify.com/track/4lUzRhikhXN2GphkZCADzX,https://i.scdn.co/image/ab67616d0000b273d46dec4689741b1400c3df95
devil or angel theclovers,https://open.spotify.com/track/3CRDbEEHB4hMOKuPj9fwSO,https://i.scdn.co/image/ab67616d0000b273b6aceff6d3c1ba13f274ace3
hosanna harrybelafonte,https://open.spotify.com/track/7rDYN6KQ0hd8kXlX2uiBYt,https://i.scdn.co/image/ab67616d0000b2735e3b143a43c2a65158a59a94
volare (nel blu dipinto di blu) jerryvale,https://open.spotify.com/track/2NfFvKV8SK7hQyETFLeFAG,https://i.scdn.co/image/ab67616d0000b2732d24252fe828cfa642417462
why should i theplatters,https://open.spotify.com/track/7fLWB75TtWgRMr0VRclL2F,https://i.scdn.co/image/ab67616d0000b273193652396e0edf5439f87226
in other words (fly me to the moon) johnnymathis,https://open.spotify.com/track/5b7OgznPJJr1vHNYGyvxau,https://i.scdn.co/image/ab67616d0000b2731946f4ef9260e9656376d020
i'll never be free lavernbaker,https://open.spotify.com/track/0APsCey3cpfu9JhptH0orA,https://i.scdn.co/image/ab67616d0000b2737fb3bb01b9d990b28ecb7e46
remember when theplatters,https://open.spotify.com/track/0KwacLrMLP6sbcuWdt6eKZ,https://i.scdn.co/image/ab67616d0000b2732d24252fe828cfa642417462
love love love theclovers,https://open.spotify.com/track/171za6Cl2laHhgHsDLcAPK,No album art found
it might as well be spring johnnymathis,https://open.spotify.com/track/3ECv8YYHCilNPpCtKWFcNA,https://i.scdn.co/image/ab67616d0000b273e5a3d1258466fac94bfd755f
at your beck and call theplatters,No results found,https://i.scdn.co/image/ab67616d0000b273cbc5ae09e919dcec56800ba4
september in the rain theplatters,https://open.spotify.com/track/2FkCjtQ1lYsf71s2FAS8hE,https://i.scdn.co/image/ab67616d0000b273b6aceff6d3c1ba13f274ace3
i give you my word theplatters,https://open.spotify.com/track/1P6ClnjGi6RK6vGZj8LsSQ,https://i.scdn.co/image/ab67616d0000b273b6aceff6d3c1ba13f274ace3
more jerryvale,https://open.spotify.com/track/0PZ1AWdVMLOgbPTlvd6cKJ,https://i.scdn.co/image/ab67616d0000b2737fb3bb01b9d990b28ecb7e46
summertime in venice jerryvale,https://open.spotify.com/track/2fabrKKuEnFPqpeF8s0h6O,https://i.scdn.co/image/ab67616d0000b27349b2d6f2c921c4ef55f22aef
here goes a fool theclovers,https://open.spotify.com/track/3RxJ5Ziaas6AguAO2Fb3dj,https://i.scdn.co/image/ab67616d0000b2731f062b7159e8f230120512bf
chinna kelbyaadve nanna ppuraana t.m.soundararajan,https://open.spotify.com/track/1FWepJdnt23Uw4jpOJoSwe,https://i.scdn.co/image/ab67616d0000b2737ce64fbf9cf9fce3b0a44733
remember me (the girl in the wood) frankielaine,https://open.spotify.com/track/4ljlAxfaEjO4Q4g9FMtVj4,https://i.scdn.co/image/ab67616d0000b2733b1a2136a769a6503d8e2aef
blood beach groovieghoulies,https://open.spotify.com/track/5rHbbqAuK6gKWcRq6Httff,https://i.scdn.co/image/ab67616d0000b273d46dec4689741b1400c3df95
am i blue? rickynelson,https://open.spotify.com/track/5MpzHTA232F5OVSWpbxL0u,https://i.scdn.co/image/ab67616d0000b27395d8b812a418bfcac8047e7c
don't ever love me harrybelafonte,https://open.spotify.com/track/4fHDlIntTsRGSyTg5UYZYC,https://i.scdn.co/image/ab67616d0000b273b364e6db443d84cdd1ec22db
angelique-o harrybelafonte,https://open.spotify.com/track/4szcTS5wSHOLLD1Dhf5eT7,https://i.scdn.co/image/ab67616d0000b27372ddee406b1d5f70de813c64
true love rickynelson,https://open.spotify.com/track/2psoksMNum3Ka63zDRl7PJ,https://i.scdn.co/image/ab67616d0000b273a7ff25855e1f5a865abf2fa8
by myself johnnymathis,https://open.spotify.com/track/4uxsv9PjV3Yeyn51RdWvGJ,https://i.scdn.co/image/ab67616d0000b27373156eec3da3ba6bd98e5b4d
warm johnnymathis,https://open.spotify.com/track/7vE0ajHyWkSmgmHm040HRJ,https://i.scdn.co/image/ab67616d0000b27388367cde4312ea2b32225e1b
panchhi banoon udti phiroon latamangeshkar,https://open.spotify.com/track/6I74QpdGxj1i1oTvEC5PXx,https://i.scdn.co/image/ab67616d0000b273d09f96d82310d4d77c14c108
miss you billyvaughn,https://open.spotify.com/track/4pH8cIlMI9NrTWcDiQbuRe,https://i.scdn.co/image/ab67616d0000b27369657e8f1ebefbb2a49bf0ea
one kiss eddiecochran,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,https://i.scdn.co/image/ab67616d0000b27369657e8f1ebefbb2a49bf0ea
i'm glad there is you johnnymathis,https://open.spotify.com/track/5TuVnRnPlHRNPxOX1O4PK0,https://i.scdn.co/image/ab67616d0000b27324c50e31cea9cf898d05448c
"baby, baby, baby johnnymathis",https://open.spotify.com/track/4uxsv9PjV3Yeyn51RdWvGJ,https://i.scdn.co/image/ab67616d0000b273988665e0435d5283cfd38b1d
undying love eddiecochran,https://open.spotify.com/track/3oAWTk92mZBxKBOKf8mR5v,https://i.scdn.co/image/ab67616d0000b2731b712c9fd9f1df1f923460e9
your true love rickynelson,https://open.spotify.com/track/2Aq3BiLhITGHe6YSzkzOvi,https://i.scdn.co/image/ab67616d0000b27395d8b812a418bfcac8047e7c
cu cu ru cu cu paloma harrybelafonte,https://open.spotify.com/track/4xjqM3uB3VVRQyDHjUkJQT,https://i.scdn.co/image/ab67616d0000b2736d9b8c32e2c4860cd1b9d3e2
cordelia brown harrybelafonte,https://open.spotify.com/track/2Y7WzfT0zziuQjsOvESs31,https://i.scdn.co/image/ab67616d0000b273237f49ac63846ec378ac4a80
dear heart andywilliams,https://open.spotify.com/track/7yKPNWs7kK3GIaNceL1a7t,https://i.scdn.co/image/ab67616d0000b273237f49ac63846ec378ac4a80
completely sweet eddiecochran,https://open.spotify.com/track/1Uuqb0SVhpHV8tRIZVN6Us,https://i.scdn.co/image/ab67616d0000b273be64efd9178efecfe9274920
sittin' in the balcony eddiecochran,https://open.spotify.com/track/6lZMSnCPm2jStSutrq3k7t,https://i.scdn.co/image/ab67616d0000b273f26df1d3bc817ecbb6409f59
a time for us andywilliams,https://open.spotify.com/track/5zb4W1kpq0EtjrBA3OINMG,https://i.scdn.co/image/ab67616d0000b2739ffbe027325528769963c0ce
soft sands thechordettes,https://open.spotify.com/track/2NPoe8i00E3gNbiotkhp6E,https://i.scdn.co/image/ab67616d0000b27309bb80cdc65e7f72e6336ac1
(where do i begin) love story andywilliams,https://open.spotify.com/track/45FLu3nL1iMYXYPzhqLdko,https://i.scdn.co/image/ab67616d0000b273fff8623d7d0a5563a964aef3
canadian sunset andywilliams,https://open.spotify.com/track/55nb3A6Xo0x0ozCQEYk3pN,https://i.scdn.co/image/ab67616d0000b273f26df1d3bc817ecbb6409f59
kisses sweeter than wine jimmierodgers,https://open.spotify.com/track/2luRltDp0ZG4ORi3lA8NsB,https://i.scdn.co/image/ab67616d0000b273f26df1d3bc817ecbb6409f59
eddie my love thechordettes,https://open.spotify.com/track/1uv8FDHMW8p7yUqTF6cDQT,https://i.scdn.co/image/ab67616d0000b273f26df1d3bc817ecbb6409f59
come home to my arms thechordettes,https://open.spotify.com/track/1UoE4BXqtRxRwVzG4DYt9F,https://i.scdn.co/image/ab67616d0000b2735337a75834227ceb03a4b2a9
love never changes thechordettes,https://open.spotify.com/track/1GTNcb4iWaUyydPGiuXsYa,https://i.scdn.co/image/ab67616d0000b273913ca31ce94d4d3c77d27eb2
tumsa nahin dekha mohammedrafi,https://open.spotify.com/track/6ZuCrbIgx3Q8tfEQmykGbX,https://i.scdn.co/image/ab67616d0000b2734a9794c2791f73a486a13220
i can't love you enough lavernbaker,https://open.spotify.com/track/0CV9HdjjyCuB3egHfobTpB,https://i.scdn.co/image/ab67616d0000b273237f49ac63846ec378ac4a80
choopula kalasina subhavela ghantasala,https://open.spotify.com/track/5DqSYJZmJvmu80E8p8qzzb,https://i.scdn.co/image/ab67616d0000b27369657e8f1ebefbb2a49bf0ea
